%Channels,1,
%Samples,6163,
%Date,3/6/2015,
%Time,11:55:06,
%Y_Unit_Label,Angle (deg),
%X_Dimension,Time (s),
%X0,55:06.4,
%Delta_X,0.02,
%***End_of_Header***,,
%X_Value,03/06/2015 11:55:02 AM - Angular - Dev1_ctr0,Comment
0,0,
0.02,0,
0.04,0,
0.06,0,
0.08,0,
0.1,0,
0.12,0,
0.14,0,
0.16,0,
0.18,0,
0.2,0,
0.22,0,
0.24,0,
0.26,0,
0.28,0,
0.3,0,
0.32,0,
0.34,0,
0.36,0,
0.38,0,
0.4,0,
0.42,0,
0.44,0,
0.46,0,
0.48,0,
0.5,0,
0.52,0,
0.54,0,
0.56,0,
0.58,0,
0.6,0,
0.62,0,
0.64,0,
0.66,0,
0.68,0,
0.7,0,
0.72,0,
0.74,0,
0.76,0,
0.78,0,
0.8,0,
0.82,0,
0.84,0,
0.86,0,
0.88,0,
0.9,0,
0.92,0,
0.94,0,
0.96,0,
0.98,0,
1,0,
1.02,0,
1.04,0,
1.06,0,
1.08,0,
1.1,0,
1.12,0,
1.14,0,
1.16,0,
1.18,0,
1.2,0,
1.22,0,
1.24,0,
1.26,0,
1.28,0,
1.3,0,
1.32,0,
1.34,0,
1.36,0,
1.38,0,
1.4,0,
1.42,0,
1.44,0,
1.46,0,
1.48,0,
1.5,0,
1.52,0,
1.54,0,
1.56,0,
1.58,0,
1.6,0,
1.62,0,
1.64,0,
1.66,0,
1.68,0,
1.7,0,
1.72,0,
1.74,0,
1.76,0,
1.78,0,
1.8,0,
1.82,0,
1.84,0,
1.86,0,
1.88,0,
1.9,0,
1.92,0,
1.94,0,
1.96,0,
1.98,0,
2,0,
2.02,0,
2.04,0,
2.06,0,
2.08,0,
2.1,0,
2.12,0,
2.14,0,
2.16,0,
2.18,0,
2.2,0,
2.22,0,
2.24,-0.036,
2.26,-0.072,
2.28,-0.108,
2.3,-0.216,
2.32,-0.324,
2.34,-0.468,
2.36,-0.648,
2.38,-0.864,
2.4,-1.152,
2.42,-1.44,
2.44,-1.764,
2.46,-2.124,
2.48,-2.52,
2.5,-2.88,
2.52,-3.312,
2.54,-3.708,
2.56,-4.14,
2.58,-4.536,
2.6,-5.004,
2.62,-5.436,
2.64,-5.868,
2.66,-6.336,
2.68,-6.804,
2.7,-7.308,
2.72,-7.812,
2.74,-8.352,
2.76,-8.892,
2.78,-9.468,
2.8,-10.08,
2.82,-10.692,
2.84,-11.34,
2.86,-12.024,
2.88,-12.672,
2.9,-13.392,
2.92,-14.076,
2.94,-14.796,
2.96,-15.516,
2.98,-16.2,
3,-16.956,
3.02,-17.676,
3.04,-18.432,
3.06,-19.152,
3.08,-19.872,
3.1,-20.664,
3.12,-21.384,
3.14,-22.14,
3.16,-22.896,
3.18,-23.616,
3.2,-24.336,
3.22,-25.092,
3.24,-25.812,
3.26,-26.568,
3.28,-27.288,
3.3,-28.008,
3.32,-28.728,
3.34,-29.448,
3.36,-30.132,
3.38,-30.852,
3.4,-31.5,
3.42,-32.148,
3.44,-32.76,
3.46,-33.3,
3.48,-33.84,
3.5,-34.308,
3.52,-34.776,
3.54,-35.208,
3.56,-35.604,
3.58,-36,
3.6,-36.36,
3.62,-36.648,
3.64,-36.972,
3.66,-37.224,
3.68,-37.512,
3.7,-37.728,
3.72,-37.98,
3.74,-38.16,
3.76,-38.376,
3.78,-38.556,
3.8,-38.7,
3.82,-38.844,
3.84,-38.988,
3.86,-39.096,
3.88,-39.204,
3.9,-39.276,
3.92,-39.348,
3.94,-39.42,
3.96,-39.456,
3.98,-39.528,
4,-39.564,
4.02,-39.636,
4.04,-39.708,
4.06,-39.78,
4.08,-39.888,
4.1,-39.96,
4.12,-40.104,
4.14,-40.176,
4.16,-40.32,
4.18,-40.428,
4.2,-40.536,
4.22,-40.644,
4.24,-40.752,
4.26,-40.86,
4.28,-40.968,
4.3,-41.04,
4.32,-41.148,
4.34,-41.22,
4.36,-41.328,
4.38,-41.4,
4.4,-41.508,
4.42,-41.616,
4.44,-41.688,
4.46,-41.796,
